Output of `python main.py --cuda --epochs 6 --data ../../../visdial_text --model GRU --save model_gru_6.pt 2>&1 | tee model_gru_6.txt`:
| epoch   1 |   200/15891 batches | lr 20.00 | ms/batch 61.47 | loss  7.65 | ppl  2108.67
| epoch   1 |   400/15891 batches | lr 20.00 | ms/batch 60.77 | loss  4.68 | ppl   108.13
| epoch   1 |   600/15891 batches | lr 20.00 | ms/batch 60.98 | loss  4.13 | ppl    62.43
| epoch   1 |   800/15891 batches | lr 20.00 | ms/batch 61.16 | loss  3.86 | ppl    47.28
| epoch   1 |  1000/15891 batches | lr 20.00 | ms/batch 61.31 | loss  3.69 | ppl    39.97
| epoch   1 |  1200/15891 batches | lr 20.00 | ms/batch 61.47 | loss  3.63 | ppl    37.59
| epoch   1 |  1400/15891 batches | lr 20.00 | ms/batch 61.58 | loss  3.53 | ppl    34.12
| epoch   1 |  1600/15891 batches | lr 20.00 | ms/batch 61.69 | loss  3.50 | ppl    32.96
| epoch   1 |  1800/15891 batches | lr 20.00 | ms/batch 61.94 | loss  3.39 | ppl    29.63
| epoch   1 |  2000/15891 batches | lr 20.00 | ms/batch 61.92 | loss  3.38 | ppl    29.51
| epoch   1 |  2200/15891 batches | lr 20.00 | ms/batch 62.02 | loss  3.40 | ppl    29.84
| epoch   1 |  2400/15891 batches | lr 20.00 | ms/batch 62.05 | loss  3.34 | ppl    28.19
| epoch   1 |  2600/15891 batches | lr 20.00 | ms/batch 62.19 | loss  3.26 | ppl    26.04
| epoch   1 |  2800/15891 batches | lr 20.00 | ms/batch 62.22 | loss  3.27 | ppl    26.26
| epoch   1 |  3000/15891 batches | lr 20.00 | ms/batch 62.27 | loss  3.30 | ppl    27.14
| epoch   1 |  3200/15891 batches | lr 20.00 | ms/batch 62.21 | loss  3.27 | ppl    26.20
| epoch   1 |  3400/15891 batches | lr 20.00 | ms/batch 62.25 | loss  3.23 | ppl    25.29
| epoch   1 |  3600/15891 batches | lr 20.00 | ms/batch 62.23 | loss  3.22 | ppl    25.15
| epoch   1 |  3800/15891 batches | lr 20.00 | ms/batch 62.27 | loss  3.19 | ppl    24.17
| epoch   1 |  4000/15891 batches | lr 20.00 | ms/batch 62.32 | loss  3.17 | ppl    23.82
| epoch   1 |  4200/15891 batches | lr 20.00 | ms/batch 62.31 | loss  3.19 | ppl    24.28
| epoch   1 |  4400/15891 batches | lr 20.00 | ms/batch 62.31 | loss  3.13 | ppl    22.85
| epoch   1 |  4600/15891 batches | lr 20.00 | ms/batch 62.32 | loss  3.15 | ppl    23.27
| epoch   1 |  4800/15891 batches | lr 20.00 | ms/batch 62.28 | loss  3.11 | ppl    22.40
